our_id,our_name,tier,score,ascend_identifier,ascend_title
4622,1st National. Insurance Company of America,weak,0.518,1st_auto_casualty_insurance_madison_55a1c3,1st Auto & Casualty Insurance
3549,ACCC Insurance Company,none,0.3,,
4070,ACCEPTANCE,exact,1.0,acceptance_indemnity_insurance_company_raleigh_ece1ab,Acceptance Indemnity Insurance Company
3569,ACCIDENT FUND GENERAL,weak,0.706,accident_fund_insurance_co_of_america_lansing_8a33bf,Accident Fund Insurance Co. of America
3570,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,exact,1.0,accident_fund_insurance_co_of_america_lansing_8a33bf,Accident Fund Insurance Co. of America
3571,ACCIDENT FUND NATIONAL,exact,1.0,accident_fund_insurance_co_of_america_lansing_8a33bf,Accident Fund Insurance Co. of America
3555,ACE Westchester Specialty Group,exact,1.0,ace_westchester_new_orleans_8c1cd3,ACE Westchester
4121,AIG PROPERTY CASUALTY COMPANY,exact,1.0,aig_new_york_8446bc,AIG
3556,AMC fairmont insurance services,none,0.233,,
4709,AMERICAN COMPENSATION INS. CO.,weak,0.6,pacific_compensation_insurance_company_westlake_vlg_c9ff87,Pacific Compensation Insurance Company
3991,AMERICAN GENERAL LIFE INSURANCE COMPANY,exact,1.0,general_insurance_company_of_america_seattle_030f84,General Insurance Company of America
4260,AMERICAN MERCURY INSURANCE COMPANY,exact,1.0,american_mercury_insurance_co_oklahoma_city_537da0,American Mercury Insurance Co
4261,AMERICAN MERCURY LLOYDS INSURANCE COMPANY,weak,0.567,american_mercury_insurance_co_oklahoma_city_537da0,American Mercury Insurance Co
3557,"ATTUNE INSURANCE SERVICES,LLC",none,0.229,,
3563,"AXIOM INSURANCE, LLC",none,0.3,,
4460,Accelerant National Insurance Company,exact,1.0,accelerant_national_insurance_company_sandy_springs_cac74b,Accelerant National Insurance Company
4638,Acceptance Casualty Insurance Company,exact,1.0,acceptance_indemnity_insurance_company_raleigh_ece1ab,Acceptance Indemnity Insurance Company
3564,Access Insurance Company,exact,1.0,american_access_casualty_co_downers_grove_026a8a,American Access Casualty Co
3568,Accident Fund Insurance Company of America 1,strong,0.771,accident_fund_insurance_co_of_america_lansing_8a33bf,Accident Fund Insurance Co. of America
3572,Accident Insurance Company,exact,1.0,accident_insurance_company_oak_ridge_569743,Accident Insurance Company
3840,Accredited Specialty Insurance Co.,exact,1.0,accredited_specialty_insurance_company_vero_beach_183a09,Accredited Specialty Insurance Company
3558,Accredited Surety and Casualty Co Inc,exact,1.0,accredited_surety_and_casualty_company_inc_winter_park_73eb46,Accredited Surety and Casualty Company Inc
4135,Accredited Surety and Casualty Company Inc,exact,1.0,accredited_surety_and_casualty_company_inc_winter_park_73eb46,Accredited Surety and Casualty Company Inc
3573,Aetna Inc.,exact,1.0,aetna_hartford_c2f9f3,Aetna
3574,Affluent Insurance Program LLC,none,0.476,,
4920,Agricultural Workers Mutual Auto Insurance Co,exact,1.0,agricultural_workers_mutual_auto_insurance_company_fort_worth_807090,Agricultural Workers Mutual Auto Insurance Company
3615,Allstate Assur Co,exact,1.0,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3616,Allstate County Mutual Ins Company,weak,0.578,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3617,Allstate Fire & Cas Ins Co,exact,1.0,allstate_fire_casualty_northbrook_c3c099,Allstate Fire & Casualty
3618,Allstate Ind Co,exact,1.0,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3614,Allstate Insurance Company,exact,1.0,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3619,Allstate Life Ins Co,exact,1.0,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3620,Allstate Life Ins Co Of NY,weak,0.637,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3621,"Allstate Motor Club, Inc.",none,0.437,,
3622,Allstate NJ Ins Co,weak,0.637,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3623,Allstate Prop & Cas Ins Co,weak,0.605,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3624,Allstate Texas Lloyd's,weak,0.631,allstate_texas_lloyds_irving_f4db02,Allstate Texas Lloyds
3625,Allstate Vehicle Property Insurance Company,weak,0.567,allstate_insurance_company_farmingville_7237c6,Allstate Insurance Company
3626,Allstate of New Jersey Property & Casualty,weak,0.574,drive_new_jersey_insurance_company_cleveland_a3f485,Drive New Jersey Insurance Company
3804,AmGUARD Ins Co,exact,1.0,amguard_insurance_company_wilkes_barre_0aac37,Amguard Insurance Company
3632,AmSuisse LLC,none,0.235,,
3634,AmTrust Insurance Co.,exact,1.0,amtrust_insurance_dallas_cd6750,AmTrust  Insurance
3635,AmTrust Insurance Company of Kansas,weak,0.567,amtrust_insurance_dallas_cd6750,AmTrust  Insurance
3636,AmTrust International Underwriters Ltd.,exact,1.0,amtrust_international_underwriters_ltd_new_york_a3d2e4,AmTrust  International Underwriters Ltd
3633,"AmTrust North America,Inc",weak,0.58,amtrust_insurance_dallas_cd6750,AmTrust  Insurance
3637,Amanda  Reyna,none,0.224,,
4187,America Fire and Casualty Co.,exact,1.0,american_fire_casualty_company_boston_963d82,American Fire & Casualty Company
4188,America First,exact,1.0,america_first_insurance_richardson_3f2659,America First Insurance
3930,American Casualty Co. of Reading PA,exact,1.0,american_casualty_co_of_reading_pa_maitland_c36f31,"American Casualty Co. of Reading, PA"
4623,American Economy,exact,1.0,american_economy_insurance_company_boston_4b026e,American Economy Insurance Company
3841,American Empire Surplus Lines Insurance Co.,exact,1.0,american_empire_surplus_lines_insurance_company_cincinnati_587cbd,American Empire Surplus Lines Insurance Company
4094,American Federation Ins. Co,exact,1.0,american_federation_insurance_company_wilmington_522c9c,American Federation Insurance Company
3692,American General Company,exact,1.0,general_insurance_company_of_america_seattle_030f84,General Insurance Company of America
