our_id,our_name,our_identifier,tier,score,ascend_identifier,ascend_title
4622,1st National. Insurance Company of America,wc_882,none,0.2,,
3549,ACCC Insurance Company,7,none,0.229,,
4070,ACCEPTANCE,wc_428,none,0.24,,
3569,ACCIDENT FUND GENERAL,wc_11,none,0.4,,
3570,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,wc_12,none,0.413,,
3571,ACCIDENT FUND NATIONAL,wc_13,none,0.413,,
3555,ACE Westchester Specialty Group,11,none,0.433,,
4121,AIG PROPERTY CASUALTY COMPANY,wc_465,exact,1.0,aig_property_casualty_company_san_francisco_2deafc,AIG Property Casualty Company
3556,AMC fairmont insurance services,13,none,0.2,,
4709,AMERICAN COMPENSATION INS. CO.,wc_957,none,0.474,,
3991,AMERICAN GENERAL LIFE INSURANCE COMPANY,wc_370,exact,1.0,general_casualty_company,General Casualty Company
4260,AMERICAN MERCURY INSURANCE COMPANY,wc_571,none,0.229,,
4261,AMERICAN MERCURY LLOYDS INSURANCE COMPANY,wc_572,none,0.378,,
3557,"ATTUNE INSURANCE SERVICES,LLC",14,none,0.213,,
3563,"AXIOM INSURANCE, LLC",15,none,0.267,,
4460,Accelerant National Insurance Company,wc_736,exact,1.0,accelerant_specialty_insurance_company_sandy_springs_57d5ce,Accelerant Specialty Insurance Company
4638,Acceptance Casualty Insurance Company,wc_896,none,0.24,,
3564,Access Insurance Company,16,none,0.267,,
3568,Accident Fund Insurance Company of America 1,18,none,0.35,,
3572,Accident Insurance Company,19,weak,0.556,hartford_accident_and_indemnity_company_hartford_763c62,Hartford Accident and Indemnity Company
3840,Accredited Specialty Insurance Co.,wc_237,exact,1.0,accredited_specialty_insurance_company_vero_beach_183a09,Accredited Specialty Insurance Company
3558,Accredited Surety and Casualty Co Inc,wc_4,exact,1.0,accredited_surety_and_casualty_company_inc_winter_park_73eb46,Accredited Surety and Casualty Company Inc
4135,Accredited Surety and Casualty Company Inc,wc_472,exact,1.0,accredited_surety_and_casualty_company_inc_winter_park_73eb46,Accredited Surety and Casualty Company Inc
3573,Aetna Inc.,20,none,0.24,,
3574,Affluent Insurance Program LLC,21,none,0.442,,
4920,Agricultural Workers Mutual Auto Insurance Co,wc_1129,none,0.357,,
3615,Allstate Assur Co,wc_50,none,0.267,,
3616,Allstate County Mutual Ins Company,wc_51,none,0.432,,
3617,Allstate Fire & Cas Ins Co,wc_52,none,0.415,,
3618,Allstate Ind Co,wc_53,none,0.267,,
