our_id,our_name,confidence,strict,cand1_id,cand1_title,cand2_id,cand2_title,cand3_id,cand3_title,APPROVE_identifier
4622,1st National. Insurance Company of America,REVIEW,0.81,selective_insurance_company_of_america_pittsburgh_a14396,Selective Insurance Company of America,starstone_national_insurance_company_jersey_city_410370,StarStone National Insurance Company,sutton_specialty_insurance_company,Sutton Specialty Insurance Company,
3549,ACCC Insurance Company,REVIEW,0.894,pacific_insurance_company_chicago_1fa1c8,Pacific Insurance Company,arch_insurance_company_saint_louis_7ffca7,Arch Insurance Company,arch_insurance_co_6dda29,Arch Insurance Co,
4070,ACCEPTANCE,low,0.471,vantage_san_francisco_5bdb31,Vantage,accredited_specialty_insurance_company_vero_beach_183a09,Accredited Specialty Insurance Company,accelerant_specialty_insurance_company_sandy_springs_57d5ce,Accelerant Specialty Insurance Company,
3569,ACCIDENT FUND GENERAL,low,0.531,southwest_marine_and_general_morristown_efe144,Southwest Marine and General,hartford_accident_and_indemnity_company_hartford_763c62,Hartford Accident and Indemnity Company,nationwide_general_insurance_company_columbus_aa9f45,Nationwide General Insurance Company,
3570,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,low,0.568,hartford_accident_and_indemnity_company_hartford_763c62,Hartford Accident and Indemnity Company,selective_insurance_company_of_america_pittsburgh_a14396,Selective Insurance Company of America,accelerant_national_insurance_company_sandy_springs_cac74b,Accelerant National Insurance Company,
3571,ACCIDENT FUND NATIONAL,low,0.492,hartford_accident_and_indemnity_company_hartford_763c62,Hartford Accident and Indemnity Company,state_compensation_insurance_fund_san_francisco_50f7db,State Compensation Insurance Fund,node_international_san_francisco_10c1f2,Node International,
3555,ACE Westchester Specialty Group,low,0.432,ace_property_and_casualty_insurance_company_philadelphia_394309,ACE Property and Casualty Insurance Company,westchester_surplus_lines_insurance_philadelphia_6c7d43,Westchester Surplus Lines Insurance,westfield_specialty_insurance_company_westfield_ctr_f546c3,Westfield Specialty Insurance Company,
3556,AMC fairmont insurance services,low,0.596,hamilton_insurance_company_princeton_cc3c0a,Hamilton Insurance Company,ascot_insurance_company_new_york_94c727,Ascot Insurance Company,ace_fire_underwriters_insurance_company_philadelphia_583b34,Ace Fire Underwriters Insurance Company,
4709,AMERICAN COMPENSATION INS. CO.,REVIEW,0.75,state_compensation_insurance_fund_san_francisco_50f7db,State Compensation Insurance Fund,american_federation_insurance_company_wilmington_522c9c,American Federation Insurance Company,coalition_insurance_company_burlington_a40176,Coalition Insurance Company,
3991,AMERICAN GENERAL LIFE INSURANCE COMPANY,REVIEW,0.603,general_casualty_company,General Casualty Company,nationwide_general_insurance_company_columbus_aa9f45,Nationwide General Insurance Company,general_star_indemnity_company_stamford_aa081d,General Star Indemnity Company,
4260,AMERICAN MERCURY INSURANCE COMPANY,REVIEW,0.866,american_zurich_insurance_company_schaumburg_fbd926,American Zurich Insurance Company,james_river_insurance_company_richmond_d85362,James River Insurance Company,berkley_insurance_company_greenwich_b8dad1,Berkley Insurance Company,
